06.19 13:30:10.021 | 信息 - 任务=1，信息=开始运行
06.19 13:30:10.030 | 信息 - 任务=1，信息=结束运行
06.19 16:56:27.013 | 信息 - 正常退出
06.19 16:59:22.897 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 16:59:22.897 | 信息 - 任务=1，信息=开始编译
06.19 16:59:22.897 | 信息 - 任务=1，信息=结束编译
06.19 16:59:22.897 | 信息 - 任务=1，信息=开始运行
06.19 16:59:22.913 | 信息 - 任务=1，信息=结束运行
06.19 17:06:31.985 | 信息 - 正常退出
06.19 17:34:44.954 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 17:34:44.954 | 信息 - 任务=1，信息=开始编译
06.19 17:34:44.954 | 信息 - 任务=1，信息=结束编译
06.19 17:34:44.954 | 信息 - 任务=1，信息=开始运行
06.19 17:34:44.964 | 信息 - 任务=1，信息=结束运行
06.19 17:54:20.217 | 信息 - 正常退出
06.19 17:54:22.321 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 17:54:22.321 | 信息 - 任务=1，信息=开始编译
06.19 17:54:22.322 | 信息 - 任务=1，信息=结束编译
06.19 17:54:22.322 | 信息 - 任务=1，信息=开始运行
06.19 17:54:22.330 | 信息 - 任务=1，信息=结束运行
06.19 18:01:31.708 | 信息 - 正常退出
06.19 18:01:34.594 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 18:01:34.594 | 信息 - 任务=1，信息=开始编译
06.19 18:01:34.594 | 信息 - 任务=1，信息=结束编译
06.19 18:01:34.594 | 信息 - 任务=1，信息=开始运行
06.19 18:01:34.603 | 信息 - 任务=1，信息=结束运行
06.19 18:25:25.507 | 信息 - 正常退出
06.19 18:25:26.432 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 18:25:26.432 | 信息 - 任务=1，信息=开始编译
06.19 18:25:26.433 | 信息 - 任务=1，信息=结束编译
06.19 18:25:26.433 | 信息 - 任务=1，信息=开始运行
06.19 18:25:26.442 | 信息 - 任务=1，信息=结束运行
06.19 18:38:14.914 | 信息 - 正常退出
06.19 18:38:17.852 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 18:38:17.852 | 信息 - 任务=1，信息=开始编译
06.19 18:38:17.853 | 信息 - 任务=1，信息=结束编译
06.19 18:38:17.853 | 信息 - 任务=1，信息=开始运行
06.19 18:38:17.861 | 信息 - 任务=1，信息=结束运行
06.19 18:58:16.436 | 信息 - 正常退出
06.19 18:58:18.794 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 18:58:18.794 | 信息 - 任务=1，信息=开始编译
06.19 18:58:18.794 | 信息 - 任务=1，信息=结束编译
06.19 18:58:18.794 | 信息 - 任务=1，信息=开始运行
06.19 18:58:18.803 | 信息 - 任务=1，信息=结束运行
06.19 19:06:18.251 | 信息 - 正常退出
06.19 19:06:23.368 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 19:06:23.368 | 信息 - 任务=1，信息=开始编译
06.19 19:06:23.368 | 信息 - 任务=1，信息=结束编译
06.19 19:06:23.368 | 信息 - 任务=1，信息=开始运行
06.19 19:06:23.377 | 信息 - 任务=1，信息=结束运行
06.19 20:20:33.796 | 信息 - 正常退出
06.19 20:23:09.804 | 信息 - 没有选择子进程，将会在本进程运行脚本。
06.19 20:23:09.804 | 信息 - 任务=1，信息=开始编译
06.19 20:23:09.805 | 信息 - 任务=1，信息=结束编译
06.19 20:23:09.805 | 信息 - 任务=1，信息=开始运行
